Municipality,Single family value,Single family parcel,Avg single family value,Single family tax bill,Single family tax bill rate ,Income per capita ,Avg tax bill over income,Rank
Abington,1.324427E+09,3789.000000,3.490529E+05,5953.777778,1.715556,33759.3,17.835556,108.444444
Andover,5.369069E+09,8615.857143,6.228356E+05,9392.142857,1.510000,76771.0,12.580000,32.142857
Ayer,5.163446E+08,1605.555556,3.201077E+05,4517.222222,1.413333,31578.9,14.592222,199.555556
Belmont,4.802108E+09,4523.000000,1.061288E+06,12781.000000,1.218889,83151.9,15.691111,11.333333
Beverly,4.156975E+09,8485.333333,4.895531E+05,6555.000000,1.350000,42045.0,15.970000,80.111111
Braintree,4.140620E+09,9061.111111,4.567697E+05,4762.444444,1.051111,39712.0,12.136667,180.000000
Brockton,4.159996E+09,16614.000000,2.500769E+05,3952.555556,1.612222,19867.6,20.034444,244.888889
Canton,2.883704E+09,5407.555556,5.327956E+05,6596.111111,1.243333,55712.2,11.962222,79.222222
Chelsea,2.201653E+08,835.000000,2.636710E+05,3494.000000,1.330000,17281.2,16.870000,328.000000
Concord,4.473480E+09,4590.666667,9.743482E+05,13938.166667,1.431667,122671.8,11.946667,7.000000
Dedham,3.172285E+09,6607.333333,4.799349E+05,6956.444444,1.465556,52060.3,13.772222,69.111111
Everett,1.018990E+09,2702.000000,3.771240E+05,3907.000000,1.040000,19630.9,17.310000,309.000000
Franklin,3.306308E+09,7703.000000,4.290128E+05,6234.666667,1.456667,46291.5,13.741111,94.555556
Hingham,4.920432E+09,6215.555556,7.914153E+05,9490.444444,1.204444,102970.4,9.590000,31.555556
Kingston,1.606018E+09,3970.700000,4.029380E+05,6412.000000,1.611000,38277.0,16.783000,91.111111
Mansfield,2.401584E+09,5403.400000,4.440780E+05,6749.900000,1.526000,45372.3,14.862000,78.777778
Needham,7.521628E+09,8390.222222,8.963156E+05,10958.222222,1.216667,104259.8,10.676667,20.333333
Newton,1.834406E+10,16957.444444,1.081858E+06,11839.333333,1.102222,122487.1,9.952222,14.666667
Norwood,2.581986E+09,5844.111111,4.417659E+05,4925.111111,1.118889,39923.1,12.477778,170.777778
Plymouth,6.479238E+09,18646.111111,3.465578E+05,5564.111111,1.605556,34393.3,16.543333,128.111111
Quincy,5.891577E+09,13676.888889,4.307442E+05,5684.444444,1.338889,32248.5,17.930000,120.888889
Rockport,1.450759E+09,2395.111111,6.050819E+05,6296.333333,1.050000,45092.5,14.257778,91.111111
Stoneham,2.558688E+09,5121.222222,4.993548E+05,5833.444444,1.183333,40555.7,14.715556,112.222222
Wakefield,3.079989E+09,6244.875000,4.931240E+05,6369.250000,1.296250,43762.3,15.121250,85.250000
Waltham,3.633604E+09,8740.000000,4.157440E+05,4631.000000,1.110000,34642.0,11.280000,249.000000
Wellesley,9.242472E+09,7297.444444,1.266494E+06,14808.555556,1.171111,179811.5,8.514444,4.666667
Westwood,3.449702E+09,4519.500000,7.628470E+05,11270.500000,1.481000,107662.0,10.482000,17.888889
Weymouth,4.834184E+09,13301.666667,3.629271E+05,4465.555556,1.238889,32660.7,13.924444,203.666667
Whitman,1.069452E+09,3357.800000,3.180423E+05,4836.100000,1.531000,29412.8,16.404000,183.111111
Winchester,5.833374E+09,5648.222222,1.032281E+06,12721.777778,1.231111,102234.0,12.683333,11.111111